Time,Avocado_Prices
1,1.52
2,1.53
3,1.43
4,1.52
5,1.5
6,1.49
7,1.6
8,1.54
9,1.47
10,1.62
11,1.71
12,1.69
13,1.72
14,1.75
15,1.77
16,1.8
17,1.78
18,1.66
19,1.72
20,1.75
21,1
22,1
23,1
24,1
25,1
26,1
27,1.64
28,1.66
29,1.68
30,1.67
31,1.58
32,1.59
33,1.5
34,1.42
35,1.37
36,1.45
37,1.59
38,1.53
39,1.63
40,1.6
41,1.49
42,1.5
43,1.49
44,1.4
45,1.51
46,1.58
47,1.48
48,1.36
49,1.53
50,1.42
51,1.42
52,1.46
53,1.34
54,1.43
55,1.42
56,1.56
57,1.64
58,1.63
59,1.7
60,1.68
61,1.93
62,1.63
63,1.5
64,1.52
65,1.71
66,1.69
67,1.67
68,1.52
69,1.54
70,1.49
71,1.51
72,1.48
73,1.55
74,1.58
75,1.65
76,1.63
77,1.51
78,1.47
79,1.5
80,1.45
81,1.45
82,1.43
83,1.41
84,1.36
85,1.45
86,1.3
87,1.28
88,1.25
89,1.38
90,1.26
91,1.44
92,1.44
93,1.27
94,1.29
95,1.28
96,1.44
97,1.45
98,1.37
99,1.44
100,1.43
101,1.41
102,1.44
103,1.35
104,1.43
105,1.52
106,1.64
107,1.57
108,1.54
109,1.62
110,1.72
111,1.77
112,1.81
113,1.82
114,1.84
115,1.82
116,1.85
117,1.9
118,1.95
119,1.94
120,2
121,2.03
122,2.06
123,2.09
124,1.96
125,1.88
126,1.83
127,1.78
128,1.76
129,1.78
130,1.71
131,1.74
132,1.77
133,1.71
134,1.56
135,1.64
136,1.69
137,1.71
138,1.55
139,1.57
140,1.68
141,1.61
142,1.49
143,1.43
144,1.42
145,1.29
146,1.5
147,1.38
148,1.16
149,1.21
150,1.31
151,1.41
152,1.36
153,1.43
154,1.37
155,1.44
156,1.43
157,1.48
158,1.55
159,1.54
160,1.52
161,1.52
162,1.57
163,1.52
164,1.56
165,1.53
166,1.61
167,1.63
168,1.59
169,1.51
